Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Homepage Request,50,234,149,565,134.67,0.000%,4.91981,1129.89,1.65,235173.9
TOTAL,50,234,149,565,134.67,0.000%,4.91981,1129.89,1.65,235173.9
